id,reservoir_name,dam_name,station_name,station_type,country,commission_year,status,dam_height_m,dam_length_m,max_area_km2,min_area_km2,normal_area_km2,max_capacity_mcm,min_capacity_mcm,normal_capacity_mcm,average_depth_m,dam_crest_elevation_m,reservoir_normal_elevation_m,reservoir_minimum_elevation_m,water_head_m,design_flow_m3s,power_mw,main_use,second_use,longitude,latitude,dynamic_id,dup_group
1872,Mae Ngat,Mae Ngat,SEAWEA_UNKNOWN,Storage,Thailand,1985,Operational,59.0,1950.0,15.60243005,6.458609612,13.2620655425,322.89,37.85872383,265.0,23.0,-999.9,-999.9,381.5678603,-99.0,-999.9,9.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.039648,19.164673,88.0,
1884,Kiwlom,Kiwlom,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1972,Operational,42.0,135.0,5.35184164,9.680635286,9.680635286,106.22,-99.0,112.0,8.5,-999.9,-999.9,288.8248878,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,99.622574,18.522013,70.0,
1919,Tabsalao,Tabsalao,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1988,Operational,27.0,3375.0,19.0,0.5,19.0,190.0,21.56406285,160.0,10.6,-999.9,-999.9,144.5108235,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,99.446505,15.53544,159.0,
1927,Krasoew,Krasoew,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1979,Operational,33.0,4250.0,44.92592669,25.31914988,35.0,390.0,57.74844077,240.0,6.3,-999.9,-999.9,81.02664979,-999.9,-999.9,-99.0,Multiple purpose,SEAWEA_UNKNOWN,99.656075,14.835896,71.0,
5079,Mae Kuang,Mae Kuang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1991,Operational,73.0,610.0,11.6,0.1,11.6,295.0,36.5176253,263.0,45.1,-999.9,-999.9,351.3971262,-999.9,-999.9,-99.0,Multiple purpose,SEAWEA_UNKNOWN,99.122917,18.92752,87.0,
5087,Mae Chang,Mae Chang,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1983,Operational,40.0,760.0,12.3,0.3,12.3,108.6,92.7,108.6,11.0,-999.9,-999.9,342.8364487,-999.9,-999.9,-99.0,Water supply,SEAWEA_UNKNOWN,99.8035,18.307753,86.0,
39333,Kwai Noi Bumrung Dan Dam,Kheaw Noi,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2009,Operational,-99.0,-99.0,-99.0,-99.0,-99.0,1080.0,-99.0,939.0,19.5,-999.9,-999.9,-999.9,-999.9,-999.9,30.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,100.414752,17.181316,,
39345,SEAWEA_UNKNOWN,Kiew Kor Mah,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,2008,Operational,-99.0,-99.0,-99.0,-99.0,-99.0,209.0,-99.0,170.0,17.9,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,99.645397,18.808086,,
14733,SEAWEA_UNKNOWN,Mae Ngat Sombunchol,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1985,Operational,59.0,1950.0,1.6,-999.9,16.0,265.0,-999.9,-999.9,23.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,Multiple purpose,SEAWEA_UNKNOWN,99.03333333,19.15,,
14740,SEAWEA_UNKNOWN,Mae Teeb,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Thailand,1987,Operational,24.0,-999.9,37.5,-999.9,-999.9,1000.0,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,Water supply,SEAWEA_UNKNOWN,98.65444444,17.86194444,,
361,Khao Laem,Khao Laem,Vajiralongkorn,Storage,Thailand,1985,Operational,92.0,1019.0,388.0,280.0,388.0,8900.0,5848.0,8860.0,30.4,-999.9,-999.9,137.9186977,63.0,-999.9,300.0,Irrigation,SEAWEA_UNKNOWN,98.596417,14.799654,66.0,15.0
362,Srinagarind,Srinagarind,Srinagarind,Storage,Thailand,1978,Operational,140.0,610.0,419.0,380.0,419.0,17800.0,7470.0,17745.0,51.6,-999.9,-999.9,161.0250182,105.0,-999.9,720.0,Irrigation,SEAWEA_UNKNOWN,99.127083,14.410439,156.0,16.0
5121,Tha Thung Na Dam,Tha Tung Na,Tha Thung,Run of River,Thailand,1982,Operational,30.0,840.0,3.2,-99.0,11.4,54.8,28.8,54.8,17.1,-999.9,-999.9,-999.9,-999.9,-999.9,36.0,Hydropower,SEAWEA_UNKNOWN,99.234487,14.235406,,
372,SEAWEA_UNKNOWN,Dau Tieng,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,Vietnam,1985,Operational,28.0,1100.0,-99.0,-99.0,270.0,1580.0,-99.0,1580.0,8.5,-999.9,-999.9,-999.9,-999.9,-999.9,-99.0,Irrigation,SEAWEA_UNKNOWN,106.344789,11.323937,,
373,Tri An 1,Tri An 1,Tri An,Storage,Vietnam,1987,Operational,40.0,420.0,323.4,109.0,323.4,2765.0,1360.0,2765.0,10.0,-999.9,-999.9,41.9207593,-999.9,-999.9,400.0,Hydropower,SEAWEA_UNKNOWN,107.036189,11.106337,168.0,
1953,Ham Thuan 1,Ham Thuan 1,Ham Thuan - Da Mi,Storage,Vietnam,2001,Operational,93.0,586.0,26.73704231,16.28245956,25.2,721.3009963,299.739171,695.0,24.4,-999.9,-999.9,589.7693611,-999.9,-999.9,300.0,Hydropower,SEAWEA_UNKNOWN,107.933506,11.326775,35.0,
5165,Danhim,Danhim,Da Nhim,Storage,Vietnam,1964,Operational,38.0,1460.0,9.487006469,5.126065788,8.06395549865,143.3207884,20.83979587,121.82267014,20.8,-999.9,-999.9,1020.882985,-99.0,-999.9,160.0,Hydropower,SEAWEA_UNKNOWN,108.611458,11.853249,23.0,
5178,SEAWEA_UNKNOWN,Da Mi 1,Da Mi,Storage,Vietnam,2001,Operational,69.0,490.0,6.3,-99.0,6.3,141.0,-99.0,141.0,18.6,-999.9,-999.9,-999.9,-99.0,-999.9,175.0,SEAWEA_UNKNOWN,SEAWEA_UNKNOWN,107.838542,11.240839,,
7098,Dong Nai 2,Dong Nai II,Dong Nai 2,SEAWEA_UNKNOWN,Vietnam,2015,Operational,80.0,800.0,11.40672733,8.608245214,9.6957182305,258.8648575,166.8002665,220.03512887500003,37.2,-999.9,-999.9,671.3900177,-99.0,-999.9,70.0,Hydropower,SEAWEA_UNKNOWN,108.058603,11.713346,25.0,
7099,Dong Nai 3,Dong Nai III,Dong Nai 3,Storage,Vietnam,2009,Operational,108.0,586.0,54.18000754,37.55955749,46.053006409,1475.282446,831.0691699,1423.6,28.9,-999.9,-999.9,578.8388542,-99.0,-999.9,180.0,Hydropower,SEAWEA_UNKNOWN,107.890296,11.872197,26.0,
